evidence_id,source_type,local_relative_path,sha256,captured_at_utc,sanitized_summary,ip_privacy_review,status
EV-0061,screenshot,.reference-local/screenshots/EV-0061.png,f43d2b333f198a09d6e6f07732d911914da01ea40cf6355ca58729581344490c,2026-07-18T18:23:08.3907743Z,"raw screenshot capture",pass,captured
EV-0062,ui_dump,.reference-local/ui-dumps/EV-0062.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:23:10.7301544Z,"raw UI dump capture",pass,captured
EV-0063,screenshot,.reference-local/screenshots/EV-0063.png,282b14138d8c09439e8b111ce4baa3b44913f04dfc0069d22eca83231e3e6882,2026-07-18T18:23:13.6396015Z,"raw screenshot capture",pass,captured
EV-0064,ui_dump,.reference-local/ui-dumps/EV-0064.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:23:16.0442973Z,"raw UI dump capture",pass,captured
EV-0065,screenshot,.reference-local/screenshots/EV-0065.png,01f177caf1bd74d3b4432fca3cb5454475743f0581fd76652dac6e3b5758fdb0,2026-07-18T18:23:41.7746499Z,"raw screenshot capture",pass,captured
EV-0066,ui_dump,.reference-local/ui-dumps/EV-0066.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:23:44.1642325Z,"raw UI dump capture",pass,captured
EV-0067,screenshot,.reference-local/screenshots/EV-0067.png,369e991453027993717bd2338f39bfadfc0b0fc8d199125767f00605c23e1ad0,2026-07-18T18:23:47.1440159Z,"raw screenshot capture",pass,captured
EV-0068,ui_dump,.reference-local/ui-dumps/EV-0068.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:23:49.6829517Z,"raw UI dump capture",pass,captured
EV-0069,screenshot,.reference-local/screenshots/EV-0069.png,369e991453027993717bd2338f39bfadfc0b0fc8d199125767f00605c23e1ad0,2026-07-18T18:24:17.2724290Z,"raw screenshot capture",pass,captured
EV-0070,ui_dump,.reference-local/ui-dumps/EV-0070.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:24:19.7939099Z,"raw UI dump capture",pass,captured
EV-0071,screenshot,.reference-local/screenshots/EV-0071.png,5e7109019d12b5c606575e1e98cded6e99950c7304d1def4649d6b3773165cd3,2026-07-18T18:24:23.0652561Z,"raw screenshot capture",pass,captured
EV-0072,ui_dump,.reference-local/ui-dumps/EV-0072.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:24:25.5372048Z,"raw UI dump capture",pass,captured
EV-0073,screenshot,.reference-local/screenshots/EV-0073.png,8f2be3e4613d5e85a37fb1eff9a07b7e3d4e42a485bab37f5281561c78443779,2026-07-18T18:24:52.0465471Z,"raw screenshot capture",pass,captured
